review_date,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body
1995-06-24,US,53096571,RHL4UW17ZK72A,521314925,9.81E+08,Invention and Evolution:Design in Nature and Engineering,Books,5,9,9,FALSE,FALSE,BUY THIS BOOK!,"This is a beautiful book. French talks about energy, form, mechanism, and economy in natural and man-made things. He compares birds to planes in terms of fuel-capacity, energy conversion efficiency, drag, etc. He compares suspension bridges and dinosaurs. He provides examples of neat inventions and the thought that has gone into them (every- thing from steam-catapults to toy cars to grommets). This is &quot;How Things Work&quot; for the non-moron crowd."
1995-06-24,US,53096571,R34N4QWDXX58WB,870210092,4.43E+08,"Arming and Fitting of English Ships of War, 1600-1815",Books,4,12,13,FALSE,FALSE,good enough to understand all of Pat O'brien,"Nice diags, lucid explanations of rigging, guns, hull, etc. A lot of the pics also appear in &quot;Nelson's Navy&quot;, so if you have that, don't bother."
1995-07-07,US,53096573,RPLV77JZXG575,047194128X,3.77E+08,Object-Oriented Type Systems,Books,4,4,4,FALSE,FALSE,"Good techniques, well written.","The best (and possibly only) book I've seen on the topic. I very much liked their approach of starting with a simplified language and adding the necessary features. The algorithms are useful, well presented, and their assumptions are laid out clearly."
1995-07-18,US,53011769,R33HOJ2OWJIDQI,089145537X,8.37E+08,The Collector's Guide to Harker Pottery U.S.A.: Identification and Value Guide,Books,5,27,27,FALSE,FALSE,The definitive volume on Harker Pottery,"OK, I'm biased. My mother wrote this one. Many of the pieces featured in the book are part of my collection. But it's still the ONLY book on Harker Pottery, America's Oldest Pottery. This book not only includes beautiful pictures of Harkerware, but also includes a price guide and some history of the pottery industry of the Ohio Valley. Harker is a contemporary of many currently collectible potteries such as Hall and Homer Laughlin. While not as valuable currently as Autumn Leaf or Fiestaware, Harker's Cameoware is becoming increasingly popular. Harker is also the only manufacturer of ceramic serving forks and spoons as well as beautiful ceramic rolling pins"
1995-07-19,US,53096552,R3SM9591SGTMJ,517593483,1.14E+08,Fingerprints Of The Gods: The Evidence of Earth's Lost Civilization,Books,5,0,1,FALSE,FALSE,This book will open your mind to the past. Excellent!!,The author has a keen sense of how to unfold his entire theory over 500 pages so that you leave the book convinced of the strong possibility that it is true and want to read more about the subject of lost civilizations. I can't wait to read &quot;When the Sky fell&quot; once its released (by Ruth Ann-Flems)
1995-07-19,US,53096582,R1U2RAML67OKWM,471114251,5.74E+08,Bitter Winds: A Memoir of My Years in China's Gulag,Books,4,9,9,FALSE,FALSE,Harry Wu could have taught Kafka a thing or two.,"&quot;Bitter Winds&quot; is at once fascinating and horrifying.I knew that China was (and still is) a scary placeto be on the wrong side of the government, but nothing can bring it home like a first-hand account. Harry Wu spent 19 years of his life in prison camps and forced labor camps all over China for crimes no more serious than speaking his mind too openly on a few occasions. He was forced to endure the most humiliating treatment imaginable under terrible conditions including near starvation during China's famines, where the prisoners had it even worse than the normal citizens. If you worry about the thought police, read this book and it will put your worries in perspective -- though certainly not to rest. Now that Wu is again incarcerated in China, where he was trying to gather more information on the forced labor system currently in operation, this book is that much more timely."
1995-07-22,US,52420369,RHI8FVKV1OR9Y,553263285,2.00E+08,"A Darkness at Sethanon (The Riftwar Saga, Vol. 4)",Books,5,0,0,FALSE,FALSE,Damningly Compelling,"This is the culmination of a series of struggles and a series of intricate and fantastic relationships. Ray understands the most important aspect of writing is not the cool tricks, wacky magic or neat monsters--although there is all that--but, rather, it is the characterization and interaction between characters which develops the story. --BilFish"
1995-07-22,US,53096510,R2OHZMLOPNMV7M,671671642,8.97E+08,Growing a Business,Books,5,1,2,FALSE,FALSE,Very good book; one of the best in my library,I think this guy is really on to something here. Wish more people would read him...I quote him in my web watch column at [...]
1995-07-22,US,53078278,R3OBBCA1X51IMT,804819459,8.15E+08,Tuttle Kanji Cards,Books,4,3,3,FALSE,FALSE,Innovative and up-to-date learning tool for Japanese,"I had until now been using Japanese flashcards that were full of words from another time. That's because they were made in another time, and I found that we do not use many such words in Japan today."
1995-07-22,US,53096513,RJKD763RQMKLH,201539926,2.99E+08,"C++ Programming Language, The",Books,5,2,3,FALSE,FALSE,A must for all who program or wish to program in C++,This book has everything. The examples are very usable and the explanations are clear. All you could expect from the guy who invented the language.
